task_idx,metric,value
0,A_t,0.196
0,AIA,0.196
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.12350000000000001
1,AIA,0.15975
1,BWT,-0.066
1,Forgetting,0.066
1,FWT,0.196
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10366666666666667
2,AIA,0.14105555555555557
2,BWT,-0.094
2,Forgetting,0.094
2,FWT,0.15650000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.084
3,AIA,0.12679166666666666
3,BWT,-0.072
3,Forgetting,0.072
3,FWT,0.16633333333333336
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07339999999999999
4,AIA,0.11611333333333333
4,BWT,-0.08525
4,Forgetting,0.08525
4,FWT,0.138
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06816666666666667
5,AIA,0.10812222222222223
5,BWT,-0.07540000000000001
5,Forgetting,0.07540000000000001
5,FWT,0.1416
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.060000000000000005
6,AIA,0.10124761904761906
6,BWT,-0.074
6,Forgetting,0.074
6,FWT,0.131
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.053375000000000006
7,AIA,0.09526354166666667
7,BWT,-0.06699999999999999
7,Forgetting,0.06699999999999999
7,FWT,0.12342857142857143
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.0488888888888889
8,AIA,0.0901108024691358
8,BWT,-0.060375
8,Forgetting,0.060375
8,FWT,0.112
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.044800000000000006
9,AIA,0.08557972222222224
9,BWT,-0.05655555555555555
9,Forgetting,0.05655555555555555
9,FWT,0.10255555555555557
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.009
